imfuziselo utshintshiselwano
ubuciko UNK
ubumbano UNK
umniningwane UNK
incazelo UNK
amalungu UNK
amahubo UNK
izimiso UNK
imibhalo UNK
ubunjalo UNK
amalungu UNK
mela UNK
injambamenti UNK
i-ephikhi UNK
indawo indawo
ahluleka silela
umsindo ifonimi
umsindo UNK
gcizelela -gxininisa
umbhinqo UNK
ukuthuthukisa UNK
ukufana ukulingana
chaza -cacisa
tolika -tolika
xegisa -yekelela
-nganaki UNK
thola -chonga
isifingqo isishwankathelo
isethulo UNK
ukulandisa UNK
ukulandisa UNK
ukulandisa UNK
ukulandisa UNK
ukufunda UNK
imibhalo UNK
indaba UNK
indaba UNK
hlukanisa yahlula
ilungu UNK
ilungu UNK
ilungu UNK
ilungu UNK
extend andisa
ukwelula isolulo
izwi irheshenga
ukulingisa UNK
isinekdokhi UNK
okwenelisayo UNK
ukuphoxeka UNK
indida UNK
umqondompikiswano UNK
UNK -xinzelela
ukugcizelela UNK
umbhinqo UNK
indikimba UNK
umqondomsuka ingqiqo
isenamisi UNK
umqondosithathiselo UNK
umuzwa UNK
ukubhuqa UNK
ukuxhumana UNK
ihubo UNK
UNK UNK
iculo UNK
isiqu UNK
ukufanelana UNK
ukufanelana UNK
ukuzwa UNK
ilithothisi UNK
isibambo UNK
phatha UNK
isikhala indawo
isikhathi UNK
ifokhasi ugqaliso
umzungezo umjikelo
umshwana UNK
umqondofana UNK
ilirikhi UNK
ubunzima ubunzima
ubunzima UNK
isihloko UNK
cwaningwa UNK
cwaningwa UNK
umqondophika UNK
bonwa UNK
bonwa UNK
unyawomitha UNK
igama igama
ilukuluku UNK
izenzo UNK
isimo UNK
imizwa UNK
imizwa UNK
imisebenzi UNK
ukumangala UNK
ukumangala UNK
UNK UNK
usizi UNK
isehlo UNK
isingeniso UNK
ukuqondana UNK
imisindo UNK
izimiso UNK
izimiso UNK
umdlalo UNK
imitha umlinganiselo
umfundi UNK
umzimba umzimba
isikhiphamsindo isithethi
okukhulunywa UNK
isihloko UNK
usifuba UNK
isithunzi UNK
ubunjalomuntu UNK
umlingiswa UNK
umlingiswa UNK
umlingiswa UNK
umlingiswa UNK
umlingiswa UNK
umlingiswa UNK
inkulumo UNK
iqhawe UNK
iqhawekazi UNK
umnqabi UNK
umelekeleli UNK
umsebenzi sebenza
uhlobo UNK
usizo isincedisi
umsizi UNK
ubuthumbu umphakathi
umyalezo UNK
umxoxi UNK
UNK UNK
umngcele UNK
isinqandamnyakazo UNK
ummeleli UNK
indaba UNK
indikimba UNK
imbongi UNK
imvumelwano UNK
imvumelwano UNK
imvumelwanosigcino UNK
imvumelwanosiqalo UNK
isoni UNK
isigqi uphindaphindo
ukuhambisa UNK
umugqa UNK
umugqa UNK
ivesi UNK
umqondo umxholo
ukwenzasamuntu UNK
umuntu UNK
umhlobiso umxholo
isikhathi UNK
uhlamvu ilungu
inganekwane UNK
inganekwane UNK
amanga ibali
insumo UNK
insumansumane UNK
ukuziphikisa UNK
ifuzamsindo UNK
inoveli inoveli
inoveli UNK
inoveli UNK
isathaya UNK
inoveli UNK
inoveli UNK
inoveli UNK
indaba UNK
umdlalo UNK
umdlalo UNK
ukudlaleka UNK
ukuxhumana UNK
isihawu UNK
isifekethiso UNK
uteku UNK
isici UNK
isici UNK
ukuvezwa UNK
isisusa UNK
isiphetho UNK
isiphetho UNK
ihaba UNK
imithonimi UNK
ukukhululwa UNK
inkohlisanzwa UNK
inkohliso UNK
ukuphindaphindwa UNK
ukuphindaphindwa UNK
ukuphindaphindwa UNK
ukuphindaphindwa UNK
ukuphindaphinda UNK
ulimi UNK
ukukhuluma UNK
ukukhuluma UNK
isigcawu UNK
isakhiwo UNK
umbuzombumbulu UNK
iphrozi UNK
hlela cwangcisa
hlela UNK
okuncane -omncinane
okuncane UNK
isimanjemanje UNK
isaga iqhalo
isigaba inqanaba
ithoni UNK
umsindo UNK
uvuthondaba UNK
uvuthondaba UNK
isisho UNK
umushwana ibinzana
umushwana UNK
uphawu UNK
isifenqo UNK
umfanekiso UNK
isimilo UNK
umsebenzi UNK
okulandelwa UNK
isihloko isihloko
iculo UNK
iculo UNK
UNK ubuqu
isuzura UNK
isithombe umfanekiso
uthi uluthi
okuvela UNK
okuvela UNK
isonethi UNK
chaza -zoba
indaba UNK
ingqikithi umxholo
izinkombandlela UNK
i-eseyi UNK
i-eseyi UNK
i-eseyi UNK
indaba UNK
i-eseyi UNK
ukulandelana UNK
inhloso UNK
inhloso UNK
umbono uluvo
umbono UNK
umbono UNK
umbono UNK
umbono UNK
ukulinganisa ukulingana
ukucabanga UNK
ukucabanga UNK
ukucabanga UNK
iqhaza UNK
isitanza UNK
injulalwazi UNK
umdlalo UNK
umdlalo UNK
umdlalo UNK
isihloko UNK
isiphicaphicwano UNK
isixakaxaka UNK
ukuphambuka UNK
icebo isakhono
izinkondlo UNK
ivesi UNK
ivesi UNK
ivesi UNK
izinkondlo UNK
ivesi UNK
izinkondlo UNK
inkondlo UNK
izinkondlo UNK
izinkondlo UNK
ukuphelela UNK
i-eleji UNK
izibongo UNK
isakhiwo isakhiwo
isakhiwo UNK
isakhiwo UNK
ukwakheka UNK
UNK imbambano
imithetho iipateni
isimisosimilo UNK
gqugquzela -phembelela
indalo okungqongileyo
indawo UNK
isehlakalo UNK
ukusetshenziswa UNK
ukusetshenziswa UNK
isenzo UNK
UNK UNK
ubunzima ubunzima
isiphetho UNK
impinda UNK
umqondo UNK
umqondo UNK
umqondo UNK
ukweqiwa UNK
ulwazi ulwazi
uketshezi UNK
ukuhlola UNK
ukuhluza UNK
isingathekiso isikweko
ukungathekisa UNK
isifaniso UNK
izifenqo UNK
khulisa ukukhula
ukukhulisa ukukhula
bongela UNK
udumo UNK
udumo UNK
olahliweyo lahla
okungajwayelekile -ngaqhelekanga
munca ukufunxa
iqoqa isicatshulwa
sheshisa -khawulezisa
ukwamukela amkela
okwamukelekile -amkelweyo
ukuvumeleka ukungena
siza -qhelanisa
phelezela -khapha
imvumelwano ukuvumelana
qongelela qokelela
yazisa -vuma
ukuthola -fumana
ubunikazi ukufumana
UNK -lungisa
okwenele -aneleyo
landela -bambelela
UNK -lungelelanisa
enza -phatha
vuma -vuma
khulumela -abela
isimomizwa ukuzenzisa
inhlanganiselakulinganisa ingqokelela
ukulwa -yaluzelisa
sola -banga
aba -abela
thinta -bhekisa
shintsha tshintsha
nikezelana -tshintshana
ubumbaxambili ukuntsonkotha
okungaqondakali -entsingiselo
ukuchibiyela -lungisa
isifanekiso imfaniso
hlaziya -hlahlela
unyakanye unyakamnye
into ukungabikho
lindela lindela
okusobala -cacileyo
ukubheka -bongoza
vela -bonakala
namathisela -hlomela
isithasiselo isihlomelo
ukudlondlobala ukunyuka
UNK ukusondela
okufanele -thabathela
linganisa -sondeza
cishe malunga
okunokuchema ukuzithandela
indawo umlinganiselo
phikisa phikisana;
okulandayo -thanda
nikeza -balela
umunxa imbonakalo
ukubuthana qukanani
ukusayinwa imvume
hlola -xabisa
thunyelwa -abela
mumatha -funxa
cabangela -thabatha
ingcabangelo ukucingeleka
ukudla -zimanya
ukunamathela indibano
zuza -phumelela
indlelakubuka ukuziphatha
uphawu isimo
gunyaza -gunyazisa
okunempoqo -ekhutshwa
amandla igunya
isisekelosithako ichiza
isisekelo isiseko
kala -linganisa
UNK ukuthatha
okuchemile oqal’agwebe
ukuqasha -futshane
inqwaba uninzi
ukukwazi -nesiphiwo
UNK isikhundla
uhlukhangisa uludwe
yeka pheza
UNK umngeni
-qondisa ukujela
yiba -phawula
ishadi itshati
isimo imeko
inkombacala ucaphulo
caphuna -caphula
okomphakathi -oluntu
cacisa -cacisa
incaciso ukucaca
okungasoze -odidi
hlela hlela
isithombe umkhondo
incazelomfihlo uphawu
okuhlakaniphile -enamandla
inqubokucabanga ingqiqo
okuzwakalayo -cacileyo
qondana -lingana
ukunciphisa ukuwa
qala -qalisa
phawula amagqabantshintshi
yalela -gunyazisa
enza -enza
impahla impahla
xhumana -qhagamshelana
umphakathi ibandla
qhathanisa -thelekisa
okuhambisanayo -dibana
ukunxephezela -buyisela
UNK ubuchule
hlanganisa -qokelela
umhlanganisi umqokeleli
ikhomplimenti -zalisa
ingxenyana ilungu
ingxube imbumba
qonda -qonda
okubanzi -qukayo
qukatha -quka
cabanga -qiqa
gxila -hlanganisa
okunembayo -futshane
phetha -gqiba
isiphetho isigqibo
ukuvumelana -vumelana
sikhathisinye ngaxeshanye
gxeka -gweba
dlulisa ukunikezela
thwesa -thwesa
gcina -valela
qinisekisa -qinisekisa
hambisana -thobela
xhuma -hlanganisa
imvume imvumelwano
umphumela isiphumo
ngemuva -landelayo
bheka -qwalasela
okubanzi -khulu
ukwakhiwa -quka
ukuqina ukuqina
okuhambisanayo -ngaguqukuguquki
okungaguquki UNK
ingxenye inxenye
ukusungula -misa
vimbela -thintela
incazelokuzakhela ukwakha
bonisana -cebisana
sebenzisa ukusebenzisa
UNK -elo
nciphisa rhwaqelisa
phikisa chasa
ukushayisana okuziphikisayo
okushayisanayo -phikisanayo
ukushayisana uchasiso
bamba -bhalela
okungaqondakali -enokuphikiswa
impikiswanomqondo impikiswano
hlangana -hlanganisa
sondelelana -hlangabeza
ukuphikisa isiphikiso
guqula guqula
bonisa -qinisekisa
bambisana -sebenzisana
hlobana -nxulumanisa
ubudlelwano unxulumano
hambisana -ngqinelana
enza dala
isimisongqangi umgaqo
okunqala -balulekileyo
ukuvundisa tyala;
umgudumali imali
umininingo uvimba
inkulumompikiswano ingxoxo
ishuminyaka ishumi
ukwehla ukuncipha
ehlisa ukunciphisa
umyalelo umthetho
nikela -nikela
susela -fikelela
dlulela -thobela
okushodayo -swelayo
chaza -chaza
okunembayo -cacileyo
incazelo inkcazelo
ngenhloso -ngabom
ukudingida ingxoxo
bonisa -yazisa
chaza -xela
okucinene -shinyeneyo
chitha -khanyela
ehlisa -cinezela
susela -fumana
incazelo inkcazelo
qopha yila
thola -bhaqa
thola -misela
ukulimala isonakaliso
ukuphambuka -phambuka
isisebenziso isixhobo
sungula -yila
gxila -nikela
umdwebo umzobo
phoqa -yalela
yehluka -ahluka
hlukanisa -ahlula
sabalala -ntyuntyayo
gaya ukwetyisa
isilinganisobungako umlinganiselo
nciphisa ukunciphisa
qonda -nakana
ulimi intetho
okwehlukene -odwa
khuluma ukuxoxa
sakaza sasaza
gudluza shenxisa
ukubonisa -bonisa
bhekana -gqiba
ukwakheka isimilo
phikisa -xabana
umbhalo idiseteyishini
ncipha -sasaza
ncibilikisa nyibilikisa
okwehlukile -cacileyo
umehluko umahluko
okwehlukile -ahlukileyo
hlanekezela -jija
sabalalisa -sasaza
UNK ulwabiwo
hlukana -tenxa
okwehlukene -ahlukileyo
UNK uphambuko
ukwehlukanisa ukwahlula
inkambisomthetho imfundiso
idokhumenti -bhala
isizinda ummandla
hamba -velela
ungabazane intandabuzo
uhlaka uyilo
isikhathi umgama
okuguquguqukayo -eshukumayo
okongayo -enoqoqosho
umnotho uqoqosho
hlela -hlela
umphumela isiphumo
sebenzayo esebenzayo
UNK -kakuhle
okubanzi -cacisa
isishisisi ielementi
enyusa -nyusa
ukutomula -rhola
qeda -shenxisa
okucacile -liciko
mela -vakalisa
gomoshela yanga;
qhamuka -velela
ukugcizelela isigxininiso
i-emphirisizimu amava
ukuhlomisa ukuxhobisa
vumela -nceda
faka -quka
ukuhlangana ukuqubisana
amandla amandla
ukuqinisekisa -nyanzela
yenza -khulisa
cacisa -cacisela
cebisa tyebisa
qinisekisa -qinisekisa
into into
bala -bala
isiqephu isehlo
linganisa -linganisa
hlinzeka -xhobisa
okulinganisekayo -linganayo
inkathi ixesha
gugula -khukulisa
xwaya -lahleka
sungula -fumanisa
izindlu ilifa
isilinganiso -thelekelela
inkambo umkhwa
okwenkambo -ngokwemikhwa
UNK iinqobo
okobuzwe -eyobuhlanga
hlola -xabisa
UNK ukuxabisa
ekugcineni -landelwa
okucacile -cacileyo
vukuza -vusa
sombuluka -vela
hlola xilonga
edlula -gqitha
enza -tshatshela
insada into
khipha -thintela
enza -qabelisa
cindezela nyanzelisa
bonisa -bonisa
yandisa anda
okunobuchule -eyobugcisa
enaba -chaza
veza -cacisa
okucacile -cacileyo
ukusebenzisa -xhaphaza
inkombananikuphindwa umxhasi
ulwazi ukuthunyelwa
veza -tyhila
okubanzi -phangaleleyo
ingaphandle ngaphandle
khipha ukucaphula
ingxenyana ukukhutshwa
ingxenyana ukukhutshwa
yenza -lungiselela
iqeqebana iqela
isakhisiphindaphindo -ukuquka
okubambekayo -enenyaniso
imbudane amampunge
okunokwenzeka -enokwenzeka
uphawusici -bonisa
vundile chumileyo
imali imali
okuphelayo -enemida
thambile epetyepetye
shintshashintsha -guquguqika
ikhonokukhuluma ukuthetha
uketshezi ulwelo
dikila -ncama
hlela -yila
indlelakwenza ifomula
sungula -misela
okuzayo -eza
akhela -seka
isisekelo ukusekwa
uhlaka isakhelo
umngcele umda
isibasamlilo amafutha
fezekisa -zalisekisa
sebenza -sebenza
okuyisisekelo -eyesiseko
ncibilikisa ukutywina
phehla velisa
igciwane intsholongwane
umhlaba ingqukuva
inhloso injongo
kala -hlela
vuma -nika
amandla amandla
isiqiniseko isiqinisekiso
ukwelulekwa inkokelo
ukuma uluhlu
balula -gxininisa
luhlobo ezihlobo-lunye
okunobutha -enobutshaba
cabanga -ukwenza
okufanayo -efana
ukubeka ukuchonga
indlela ukwakhiwa
ukungazi intswelo
khanyisa -khanyisela
chasisa cacisa
thutha -ngenelela
yiba -phembelela
okokusebenza isixhobo
ninda -sulela
okungacacisiwe -qukiweyo
ukudlulisa -thetha
ukulanda -ngenisa
phoqa -thwalisa
tshelisisa -shicilela
inguqukomfutho intshukumo
isikhuthazi inkuthazo
okubeleselayo -engapheliyo
isigameko isiganeko
zimisela -thambekele
ingeniso ingeniso
faka -fakelela
ukuzethwesa -zenzela
inkombananikuphindwa isalathiso
veza khomba;
okwendabuko -eyelo
umuntu umntu
banga -bangela
okungavimbeki -qhelekileyo
phetha -thelekelela
okungezansi -nganeno
futha vuthela
phazamisa -phembelela
azisa -fundisa
ingqalasizinda izibonelelo
okusemqoka -eyemvelo
thikameza nqanda
okokuqala -eyokuqala
qala -qala
okokudalwa -eyemvelo
sungula -guqulela
ukusungula ukungenisa
faka -faka
ilisokujula ingqiqo
hlola -hlola
isimo umzekelo
inzwelondalo ithuku
isikhungo iziko
yalela -yalela
isiqondiso imfundiso
isiphelelisi -efunekayo
phelelisa -dibanisa
ukuhlangana ubulungisa
ubuhlakani ingqondo
okuhlakaniphileyo -hlakaniphileyo
hlosa -zimisela
okwendlulele -nzulu
injongo injongo
emukelana -sebenzisana
ikhefu umculo
okumaphakathi -ephakathi
ngaphakathi engaphakathi
hlobana -alamana
isikhawu isithuba
ngenelela -phazamisa
inhlolokhono udliwano-ndlebe
okungumongo -eyemvelo
ukuzibonela ulwazi
okuphendukezelwe -egqwethiweyo
cwaninga phanda
vukuza -khunga
faka -bandakanya
hlukanisa -ahlukanisa
ushicilelo upapasho
ijenali yemihla
ezokwahlulela UNK
vikela -gwebela
isibheqe isibonisi
yethula -ndulula
ugqinsi ulwaleko
isifundo -fundisa
okusemthethweni -eyomthetho
umthetho -enxulumene
okufanele uwiso
umkhawulo -esemthethweni
UNK umda
bala umda
okunjalo -dwelisa
okufundile -ngamagama
beka -fumana
ukucabanga ufundonzulu
okunomqondo -enobuchule
ubungako ubukhulu
gcina londoloza
okukhulu isifundo
ukuziveza -cacisa
lawula -enza
ibhukwana incwadi
umngcele ungqameko
umkhawulo umda
okokwakha esisebenzayo
umbundungcebo ephakathi
khulile gqibeleleyo
umkhawulosigcino elona
okuzwakalayo -enentsingiselo
inkambiso umatshini
xhumanisa ngenelela
okusetshenziswayo indlela
isilevu -eyenqondo
indlela umgaqo
indlela izifundo
fuduka -fuduka
okuncanyana -encinane
umkhawulosiqalo -encinane
indlela indlela
ukulungiswa ukulungisa
lolonga ukuphucula
umfutho amandla
ubuso -ongamela
yesekela -xhasa
ukugqugquzeleka impembelelo
isisusa isizathu
okufanayo ukufana
phika -khanyela
uhleloxhumano uthungelwano
ngagaxekile engacacanga
naphezu -nangona
isimo umtyhi
qoka -misela
naphezu -nangona
UNK isithethe
inomali -qhelekileyo
okubalulekile -balulekileyo
umqondo ingcinga
naphezu nangona
okomongo -esembindini
okungachemile -engaphembelelwa
phoqa -bopha
qaphela ukuqwalasela
okungasasetshenziswa -phelelwe
nikwa -fumana
okusobala -cacileyo
bamba sebenza
enzeka -enzeka
okwehlukile -engaqhelekanga
gudlula -linganisa
okuqhubekayo -qhubekayo
igunyakukhetha ukhetho
qondisa -ukuqhelisa
umphumela isiphumo
umphumela iziphumo
jikelele -equlathe
ukwedlulana -ngenana
ingxenye icandelo
hambelana imigca
isikhawu isivakalisi
bamba ukuthatha
okuthile -ethile
umlweliwezwe umxhasi
impambosi ukwenzisa
isigaxa ujingi
qonda -bona
inhlukanosikhathi isigaba
okuqhubekayo -engapheliyo
qhubeka -hlala
isiqondiso umbono
nxenxa cenga
okubalulekile -ephathelele
sabalala -tyhutyha
ifeyizi UNK
isenzeko isenzeko
ifilosofi inzululwazi
ngokomzimba ngokomzimba
okusemqoka eyesikhonkwane
pulajiyarasa -ukuba
ukuhleleka isakhiwo
icala incam
inqubomgomo umgaqo
ingxenye inxenye
buza -buza
beka -thabatha
iphozithivu -qinisekileyo
okungenzeka -nokwenzeka
cabangela -thatha
ongaba amandla
ukwenza ukuqhelisa
enza -ziqhelisa
umsebenzi igcisa
okubuswa -ephathekayo
landelwa -andulela
ukubaluleka umzekelo
inzika intlenge
okunembayo -ithi
ukubikezela -ngocoselelo
okukhulu -ongamayo
into ukutshayelela
isho -ukwenza
undaweni umbekwa
cabangela -cingela
yiba -ukubakho
okwedlule -yangaphambili
okunqala -eyokuqala
phawusizinda -eyodidi
ophetheyo -eyona
UNK umthetho-siseko
ngaphambilini -ephambi
ubunqala ilungelo
okusengenzeka -lindelweyo
qhubeka -qhubeka
guqula ulandelelwano
thola -fumana
okuqeqeshiwe -eyobuchule
inqubekelaphambili intshukumo
nqabela -thintela
ukujikijela iprojekthi
khuphula -nyusela
ubufakazi ubungqina
zalanisa ukwandisa
ukuthanda ukuthambekela
ingxenye umlinganiselo
ithuba isithembiso
iphrothokholi umthetho
ukuveza -ngqinela
ushicilelo ukusasaza
shicilela ukushicilela
ukuthenga ukuthenga
cabangela -ukuthetha
landelela -landela
sekela -lungela
ikhwalithethivu ingqokelela
isicaphuno isicatshulwa
caphuna -caphula
UNK UNK
okungahleliwe -indlela
ibanga -xananaza
inanisiqhathaniso ulwalamano
okwenanisiqhathaniso -enengqondo
guqula ukuphembeleleka
bona -qonda
ukucabanga ingqiqo
ncoma -ncoma
umzekelo ibali
buyisela -fumana
phindaphindeka -enzeka
thumela -khangela
okuyisisuselo isalathiso
colisisa ukucokisa
bonisa -bonakalisa
shintsha -lungisa
phikisa -bonisa
umbuso ulawulo
UNK ummandla
lawula ukulawula
khuthaza -omeleza
okwaliwe ukwala
zeka -balisa
khulula khulula
okufanele -nxulumene
okungathembeka okunokuthenjwa
